Alabama,Fried green tomatoes,US Space and Rocket Center,Noccalula Falls,Cathedral Caverns State Park,56.90 inches per year,32.00%,Montgomery,Birmingham,"""Sweet Home Alabama""",University of Alabama,4.8 million,"51,000 square miles",$19.01 ,47,None,None,None,None,Channing Tatum,Coke,   
Alaska,Alaskan king salmon,Denali National Park,Glacier Bay National Park,Alaska Native Heritage Center,53.15 inches per year,27.40%,Juneau,Anchorage,"""The Alaska Song""",University of Alaska Anchorage,0.7 million,"572,000 square miles",$25.02 ,39,None,None,None,None,Darby Stanchfield,soda,   
Arizona,Pork chimichanga,The Grand Canyon,The Colorado River,South Mountain Park,7.11 inches per year,24.70%,Phoenix,Phoenix,"""Arizona""",University of Arizona,6.6 million,"114,000 square miles",$21.13 ,45,Cardinals,Diamondbacks,Suns,Coyotes,David Spade,soda,   
Arkansas,Southern fried catfish,Alligator Farm and Merman,Dinosaur World,Wye Mountains,42.90 inches per year,30.90%,Little Rock,Little Rock,"""Mary Queen of Arkansas""",University of Arkansas,2.9 million,"52,000 square miles",$17.72 ,41,None,None,None,None,Billy Bob Thornton,Coke,   
California,Fish tacos,The Hollywood Sign,Golden Gate Bridge,Disneyland,17.28 inches per year,23.80%,Sacramento,Los Angeles,"""California Girls""",Stanford University,38.0 million,"156,000 square miles",$25.17 ,34,"Raiders, 49ers, Chargers","Athletics, Giants, Dodgers, Angels, Padres","Warriors, Kings, Lakers, Clippers","Ducks, Kings, Sharks",Tom Hanks,soda,   
Colorado,Chile verde,Pike's Peak,Red Rocks Park and Amphitheater,Rocky Mountain National Park,15.31 inches per year,20.70%,Denver,Denver,"""Colorado Girl""",Colorado School of Mines,5.2 million,"104,000 square miles",$23.13 ,15,Broncos,Rockies,Nuggets,Avalanche,Tim Allen,pop,   
Connecticut,New Haven-style white clam pizza,The Mark Twain House,Mystic Seaport,Yale University,44.39 inches per year,24.50%,Hartford,Bridgeport,"""I Live in Connecticut""",Yale University,3.6 million,"5,000 square miles",$25.85 ,8,None,None,None,None,Justin Long,soda,   
Delaware,Vinegar french fries,Dover Downs,Hagley Museum and Library,Rehoboth Beach,41.38 inches per year,28.80%,Dover,Wilmington,"""Delaware""",University of Delaware,0.9 million,"2,000 square miles",$23.25 ,25,None,None,None,None,Ryan Phillippe,soda,   
Florida,Key lime pie,Walt Disney World,Universal Studios,Miami Beach,49.91 inches per year,26.60%,Tallahassee,Jacksonville,"""Florida""",University of Florida,19.3 million,"54,000 square miles",$19.68 ,11,"Jaguars, Dolphins, Buccaneers","Marlins, Rays","Heat, Magic","Panthers, Lightning",Johnny Depp,soda,   
Georgia,Georgia peach pie,World of Coca-Cola,Centennial Olympic Park,Stone Mountain Park,48.61 inches per year,28.00%,Atlanta,Atlanta,"""Midnight Train to Georgia""",Emory University,9.9 million,"58,000 square miles",$20.82 ,19,Falcons,Braves,Hawks,Thrashers,Laurence Fishburne,Coke,   
Hawaii,Ahi poke,Hawaii Volcanoes National Park,Hanauma Bay Nature Preserve,Diamond Head State Monument,23.47 inches per year,21.80%,Honolulu,Honolulu,"""Blue Hawaii""",University of Hawaii,1.4 million,"6,000 square miles",$21.54 ,37,None,None,None,None,Bette Midler,soda,   
Idaho,Chicken fried steak,Craters of the Moon National Monument and Preserve,Sun Valley,Shoshone Falls,11.71 inches per year,27.00%,Boise,Boise,"""Idaho""",Boise State University,1.6 million,"83,000 square miles",$18.48 ,30,None,None,None,None,Aaron Paul,pop,   
Illinois,Chicago-style deep dish pizza,Millennium Park,Navy Pier,SkyDeck Chicago - Willis Tower,33.34 inches per year,27.10%,Springfield,Chicago,"""Casimir Pulaski Day""",University of Chicago,12.8 million,"56,343 square miles",$22.68 ,12,Bears,"Cubs, White Sox",Bulls,Blackhawks,Harrison Ford,pop,   
Indiana,Breaded pork tenderloin sandwich,Indianapolis Zoo,Indianapolis Motor Speedway,Holiday World,39.12 inches per year,30.80%,Indianapolis,Fort Wayne ,"""(Back Home Again in) Indiana""",University of Notre Dame,6.5 million,"36,185 square miles",$19.38 ,9,Colts,None,Pacers,None,James Dean,pop,   
Iowa,Grilled sweet corn on the cob,Iowa State Capitol,Amana Colonies,Des Moines Botanical Center,34.71 inches per year,29.00%,Des Moines,Des Moines,"""The Dry Cleaner From Des Moines""",University of Iowa,3.0 million,"56,276 square miles",$19.02 ,38,None,None,None,None,John Wayne,pop,   
Kansas,Kansas City-style ribs,Country Club Plaza,Sedgwick County Zoo,Kansas Red Hills,28.61 inches per year,29.60%,Topeka,Wichita,"""Wichita Lineman""",University of Kansas,2.9 million,"82,282 square miles",$19.53 ,16,Chiefs,None,None,None,Kirstie Alley,pop,   
Kentucky,Kentucky hot browns,Mammoth Cave National Park,Churchill Downs,Kentucky Horse Park,43.56 inches per year,30.40%,Frankfort,Louisville,"""Man of Constant Sorrow""",University of Kentucky,4.3 million,"40,411 square miles",$18.72 ,17,None,None,None,None,George Clooney,Coke,   
